Step,AgentID,Wealth,Position,Exp name,Vision,Tax Rate,Ams map,Death,Inst regrowth
0,0,5.0,"(27, 3)",death,6,1,False,False,False
0,1,5.0,"(39, 19)",death,6,1,False,False,False
0,2,5.0,"(4, 48)",death,6,1,False,False,False
0,3,5.0,"(46, 18)",death,6,1,False,False,False
0,4,5.0,"(32, 20)",death,6,1,False,False,False
0,5,5.0,"(15, 38)",death,6,1,False,False,False
0,6,5.0,"(21, 34)",death,6,1,False,False,False
0,7,5.0,"(25, 5)",death,6,1,False,False,False
0,8,5.0,"(1, 21)",death,6,1,False,False,False
0,9,5.0,"(40, 11)",death,6,1,False,False,False
0,10,5.0,"(39, 32)",death,6,1,False,False,False
0,11,5.0,"(7, 24)",death,6,1,False,False,False
0,12,5.0,"(35, 0)",death,6,1,False,False,False
0,13,5.0,"(0, 47)",death,6,1,False,False,False
0,14,5.0,"(30, 12)",death,6,1,False,False,False
0,15,5.0,"(41, 42)",death,6,1,False,False,False
0,16,5.0,"(42, 19)",death,6,1,False,False,False
0,17,5.0,"(13, 44)",death,6,1,False,False,False
0,18,5.0,"(9, 9)",death,6,1,False,False,False
0,19,5.0,"(23, 23)",death,6,1,False,False,False
0,20,5.0,"(2, 19)",death,6,1,False,False,False
0,21,5.0,"(27, 23)",death,6,1,False,False,False
0,22,5.0,"(11, 44)",death,6,1,False,False,False
0,23,5.0,"(16, 7)",death,6,1,False,False,False
0,24,5.0,"(30, 29)",death,6,1,False,False,False
0,25,5.0,"(42, 14)",death,6,1,False,False,False
0,26,5.0,"(12, 10)",death,6,1,False,False,False
0,27,5.0,"(44, 33)",death,6,1,False,False,False
0,28,5.0,"(2, 22)",death,6,1,False,False,False
0,29,5.0,"(12, 36)",death,6,1,False,False,False
0,30,5.0,"(1, 38)",death,6,1,False,False,False
0,31,5.0,"(41, 14)",death,6,1,False,False,False
0,32,5.0,"(21, 28)",death,6,1,False,False,False
0,33,5.0,"(9, 23)",death,6,1,False,False,False
0,34,5.0,"(2, 35)",death,6,1,False,False,False
0,35,5.0,"(24, 2)",death,6,1,False,False,False
0,36,5.0,"(17, 49)",death,6,1,False,False,False
0,37,5.0,"(15, 28)",death,6,1,False,False,False
0,38,5.0,"(40, 24)",death,6,1,False,False,False
0,39,5.0,"(9, 29)",death,6,1,False,False,False
0,40,5.0,"(16, 10)",death,6,1,False,False,False
0,41,5.0,"(22, 21)",death,6,1,False,False,False
0,42,5.0,"(30, 33)",death,6,1,False,False,False
0,43,5.0,"(8, 46)",death,6,1,False,False,False
0,44,5.0,"(34, 33)",death,6,1,False,False,False
0,45,5.0,"(10, 25)",death,6,1,False,False,False
0,46,5.0,"(23, 5)",death,6,1,False,False,False
0,47,5.0,"(27, 34)",death,6,1,False,False,False
0,48,5.0,"(19, 25)",death,6,1,False,False,False
0,49,5.0,"(16, 15)",death,6,1,False,False,False
0,50,5.0,"(9, 9)",death,6,1,False,False,False
0,51,5.0,"(20, 38)",death,6,1,False,False,False
0,52,5.0,"(16, 28)",death,6,1,False,False,False
0,53,5.0,"(30, 3)",death,6,1,False,False,False
0,54,5.0,"(3, 4)",death,6,1,False,False,False
0,55,5.0,"(32, 5)",death,6,1,False,False,False
0,56,5.0,"(41, 43)",death,6,1,False,False,False
0,57,5.0,"(38, 9)",death,6,1,False,False,False
0,58,5.0,"(29, 47)",death,6,1,False,False,False
0,59,5.0,"(36, 37)",death,6,1,False,False,False
0,60,5.0,"(0, 29)",death,6,1,False,False,False
0,61,5.0,"(21, 28)",death,6,1,False,False,False
0,62,5.0,"(14, 23)",death,6,1,False,False,False
0,63,5.0,"(40, 16)",death,6,1,False,False,False
0,64,5.0,"(37, 31)",death,6,1,False,False,False
0,65,5.0,"(6, 22)",death,6,1,False,False,False
0,66,5.0,"(28, 4)",death,6,1,False,False,False
0,67,5.0,"(47, 45)",death,6,1,False,False,False
0,68,5.0,"(32, 49)",death,6,1,False,False,False
0,69,5.0,"(37, 20)",death,6,1,False,False,False
0,70,5.0,"(18, 43)",death,6,1,False,False,False
0,71,5.0,"(8, 27)",death,6,1,False,False,False
0,72,5.0,"(17, 28)",death,6,1,False,False,False
0,73,5.0,"(19, 46)",death,6,1,False,False,False
0,74,5.0,"(0, 4)",death,6,1,False,False,False
0,75,5.0,"(36, 0)",death,6,1,False,False,False
0,76,5.0,"(34, 24)",death,6,1,False,False,False
0,77,5.0,"(20, 35)",death,6,1,False,False,False
0,78,5.0,"(47, 7)",death,6,1,False,False,False
0,79,5.0,"(19, 33)",death,6,1,False,False,False
0,80,5.0,"(44, 4)",death,6,1,False,False,False
0,81,5.0,"(23, 49)",death,6,1,False,False,False
0,82,5.0,"(20, 33)",death,6,1,False,False,False
0,83,5.0,"(12, 38)",death,6,1,False,False,False
0,84,5.0,"(11, 20)",death,6,1,False,False,False
0,85,5.0,"(23, 7)",death,6,1,False,False,False
0,86,5.0,"(46, 6)",death,6,1,False,False,False
0,87,5.0,"(41, 5)",death,6,1,False,False,False
0,88,5.0,"(22, 27)",death,6,1,False,False,False
0,89,5.0,"(34, 25)",death,6,1,False,False,False
0,90,5.0,"(31, 48)",death,6,1,False,False,False
0,91,5.0,"(29, 6)",death,6,1,False,False,False
0,92,5.0,"(4, 31)",death,6,1,False,False,False
0,93,5.0,"(40, 5)",death,6,1,False,False,False
0,94,5.0,"(13, 24)",death,6,1,False,False,False
0,95,5.0,"(2, 11)",death,6,1,False,False,False
0,96,5.0,"(30, 1)",death,6,1,False,False,False
0,97,5.0,"(30, 15)",death,6,1,False,False,False
0,98,5.0,"(12, 3)",death,6,1,False,False,False
0,99,5.0,"(13, 23)",death,6,1,False,False,False
0,100,5.0,"(28, 34)",death,6,1,False,False,False
0,101,5.0,"(48, 40)",death,6,1,False,False,False
0,102,5.0,"(0, 45)",death,6,1,False,False,False
0,103,5.0,"(33, 13)",death,6,1,False,False,False
0,104,5.0,"(21, 21)",death,6,1,False,False,False
0,105,5.0,"(38, 11)",death,6,1,False,False,False
0,106,5.0,"(49, 35)",death,6,1,False,False,False
0,107,5.0,"(6, 6)",death,6,1,False,False,False
0,108,5.0,"(25, 44)",death,6,1,False,False,False
0,109,5.0,"(11, 32)",death,6,1,False,False,False
0,110,5.0,"(34, 45)",death,6,1,False,False,False
0,111,5.0,"(37, 37)",death,6,1,False,False,False
0,112,5.0,"(12, 28)",death,6,1,False,False,False
0,113,5.0,"(5, 40)",death,6,1,False,False,False
0,114,5.0,"(38, 22)",death,6,1,False,False,False
0,115,5.0,"(49, 49)",death,6,1,False,False,False
0,116,5.0,"(49, 40)",death,6,1,False,False,False
0,117,5.0,"(38, 20)",death,6,1,False,False,False
0,118,5.0,"(13, 8)",death,6,1,False,False,False
0,119,5.0,"(25, 41)",death,6,1,False,False,False
0,120,5.0,"(31, 47)",death,6,1,False,False,False
0,121,5.0,"(28, 0)",death,6,1,False,False,False
0,122,5.0,"(45, 33)",death,6,1,False,False,False
0,123,5.0,"(43, 23)",death,6,1,False,False,False
0,124,5.0,"(6, 26)",death,6,1,False,False,False
0,125,5.0,"(43, 18)",death,6,1,False,False,False
0,126,5.0,"(39, 7)",death,6,1,False,False,False
0,127,5.0,"(32, 31)",death,6,1,False,False,False
0,128,5.0,"(25, 19)",death,6,1,False,False,False
0,129,5.0,"(25, 9)",death,6,1,False,False,False
0,130,5.0,"(29, 47)",death,6,1,False,False,False
0,131,5.0,"(2, 43)",death,6,1,False,False,False
0,132,5.0,"(20, 10)",death,6,1,False,False,False
0,133,5.0,"(49, 6)",death,6,1,False,False,False
0,134,5.0,"(14, 44)",death,6,1,False,False,False
0,135,5.0,"(35, 4)",death,6,1,False,False,False
0,136,5.0,"(43, 13)",death,6,1,False,False,False
0,137,5.0,"(12, 16)",death,6,1,False,False,False
0,138,5.0,"(12, 40)",death,6,1,False,False,False
0,139,5.0,"(4, 48)",death,6,1,False,False,False
0,140,5.0,"(2, 9)",death,6,1,False,False,False
0,141,5.0,"(42, 32)",death,6,1,False,False,False
0,142,5.0,"(7, 22)",death,6,1,False,False,False
0,143,5.0,"(25, 40)",death,6,1,False,False,False
0,144,5.0,"(17, 15)",death,6,1,False,False,False
